Username,Rating,Review,App
Pengguna Google,1,kokgitu banyak perodak yg laku tapi komisi tidak ada,Shopee
Pengguna Google,5,gw suka banget sama shopee pengantarannya cepat barangnya bagus dan rapi dll gw suka banget!!!,Shopee
Pengguna Google,5,bagus,Shopee
Pengguna Google,5,Mantap,Shopee
Pengguna Google,5,sangat puas,Shopee
Pengguna Google,5,membantu belnja pun mudah. cuma ga di cantum kan no hp kurir nya saat pengirimannya,Shopee
Pengguna Google,5,semoga tetap amanah,Shopee
Pengguna Google,5,terpercaya dan masih menjadi pilihan,Shopee
Pengguna Google,3,"saya suka dgn shoope.. beberap kali ini saya blnja lewat shoope lite dan shoope. namun seringnya menggunakannya kedua aplikasi ini semakin berat terjadi loading yg cukup lama dan suka bug ngelag..pdhl aplikasi sering di update dan penghapusan chache..di penyimpan tapi itu hanya sebentar nanti lemot lagi, pdahl jaringan bagus gk ada kendala... mungkin harus MENGGUNAKAN HP YG MAHAL YG RAM NYA BESAR... TAPI ITU saya gk mungkin.. krna saya bkn org KAYA YG BANYAK UANG DAN GONTA GANTI hp..",Shopee
Pengguna Google,5,terimakasih maturnuwun 🙏🏼 iklhas insyaallah perhatian baik2 saja,Shopee
Pengguna Google,3,"pengiriman paket cuma 1 pilihan yaitu spx aja, pengiriman sangat lambat bahkan ke Kalimantan sampai 10hari lebih mohon diperhatikan dlm pengiriman thanks",Shopee
Pengguna Google,5,good job,Shopee
Pengguna Google,5,oke,Shopee
Pengguna Google,5,mantap sekali,Shopee
Pengguna Google,5,semua sistem di apk ini sangat membantu saya,Shopee
Pengguna Google,5,oke..oke.,Shopee
Pengguna Google,5,sangat baik mempermudah untuk belanja,Shopee
Pengguna Google,5,baik,Shopee
Pengguna Google,5,saya senang belanja di shopee dan barang sampai tempat waktu kondisi barang tidak lecet sedikit pun dan cocok dengan pesanan..,Shopee
Pengguna Google,2,knpa dg mue shopee .ahir2 nh seler shopi gk ada yg bener masa slma 1 bln pesenan sy 3x di tipu mulu di boongi mulu..tolong dong seler yg gk amanah tu di blok...kt jd gk nyaman blnja di shope,Shopee
Pengguna Google,5,mantul mantap betul,Shopee
Pengguna Google,5,sangat nyaman,Shopee
Pengguna Google,4,barangnya udah di kota tapi 2 hari masih di sana💆,Shopee
Pengguna Google,1,"Shopee kurir spx yang gudang di jakarta timur sangat parah, paket stuck berminggu-minggu dan di batalkan dengan alasan ""melebihi batas waktu"" ooba seluruh karyawan yang gudang di jakarta timur di cek/audit pada benar ga kerja nya",Shopee
Pengguna Google,5,g bakal bikin kecewa,Shopee
Pengguna Google,5,bagus poll laa,Shopee
Pengguna Google,3,spaylater ku gabisa bisa anjir,Shopee
Pengguna Google,5,sangat bagus,Shopee
